repo,status,weight_class,code_lines,prose_lines,test_lines,generated_lines,stars_at_measurement,license_spdx,license_family,license_note,renamed_to,size_kb
34306/vphone-aio,measured,prompt-class,178,54,0,0,7068,none,none,no licence file: rights stay with the author,,
abue-ammar/tinycast,measured,fork-class,106456,15263,28121,0,6470,NOASSERTION,copyleft,AGPL: network use forces you to publish your source,,
affaan-m/ECC,measured,fork-class,171958,455207,123032,0,262129,MIT,permissive,,,
agentrhq/webcmd,measured,fork-class,65114,4628,67154,13243,2208,Apache-2.0,permissive,,,
AgriciDaniel/claude-obsidian,measured,fork-class,24933,6437,19308,0,15074,MIT,permissive,,,
ai-sucks-butt/ai-sucks-butt,measured,prompt-class,1,3,0,0,30,none,none,no licence file: rights stay with the author,,
Albert-Weasker/niubigeo,measured,fork-class,32933,29952,11301,0,2518,Apache-2.0,permissive,,,
alibaba/open-code-review,measured,fork-class,61676,34338,89175,0,36701,Apache-2.0,permissive,,,
Alishahryar1/free-claude-code,measured,fork-class,76209,1054,116594,0,55405,MIT,permissive,,,
alphaXiv/OpenResearch,measured,fork-class,139299,10909,4097,270,5301,MIT,permissive,,,
amadeusprotocol/node,measured,fork-class,31522,814,3232,0,5522,none,none,no licence file: rights stay with the author,,
amirappleidfd-stack/spider--panel,removed_from_github,,,,,,,,,not measured,,
andrewyng/openworker,measured,fork-class,100699,2262,59549,0,,,permissive,MIT,,
anthropics/commerce-agents,measured,fork-class,51705,3642,15492,0,2966,Apache-2.0,permissive,,,
anywhere-labs/deepseek-harness-desktop,not_downloaded,,,,,,27597,MIT,permissive,,anywhere-labs/dsh-desktop,269524
AprilNEA/OpenLogi,measured,fork-class,165189,17396,1329,0,21562,Apache-2.0,permissive,,,
arnegiacomo/fugleramme,not_downloaded,,,,,,3055,MIT,permissive,,,1298574
arvids-unavailable/openGym,measured,medium,13296,1258,1564,0,6888,AGPL-3.0,copyleft,,,
arvin341az-glitch/RVG,measured,medium,14582,630,0,0,4013,NOASSERTION,source-available,no known licence text matched; written permission required for some uses,,
ashemag/human-atlas,measured,medium,8029,93,0,0,3644,MIT,permissive,,,
awesome-dsh-plugin/awesome-dsh-plugin,measured,medium,9456,9110,2584,0,16196,CC0-1.0,public-domain,,,
ayghri/i-have-adhd,measured,small,2050,7049,1540,0,48124,MIT,permissive,,,
b-nnett/grok-bot-0.18-reconstructed,measured,fork-class,230280,468,603,270398,3507,none,none,no licence file: rights stay with the author,,
basecamp/omarchy,measured,medium,13301,8143,41911,0,41937,MIT,permissive,,omacom/omarchy,
bilawalsidhu/gods-eye-view,measured,fork-class,218774,8786,110083,0,37889,NOASSERTION,source-available,MIT; no commercial use,,
blader/humanizer,measured,prompt-class,87,626,0,0,49971,MIT,permissive,,,
bojieli/ai-agent-book,not_downloaded,,,,,,48553,Apache-2.0,permissive,,,796083
browser-use/jev-ultrafast,measured,small,1712,307,320,0,5729,MIT,permissive,,,
BytePioneer-AI/codex-host,measured,fork-class,160130,42393,134244,0,2455,MIT,permissive,,,
calesthio/OpenMontage,measured,fork-class,135455,215300,26142,0,59947,AGPL-3.0,copyleft,,,
citrolabs/ego-lite,measured,fork-class,30363,3838,17457,0,16193,MIT,permissive,,,
cloudflare/security-audit-skill,measured,small,1645,1884,1392,0,13915,MIT,permissive,,,
CopilotKit/OpenBot,measured,fork-class,151224,8248,129399,794,5139,MIT,permissive,,,
crestcoursechateau/Acrobat-Pro-Software,removed_from_github,,,,,,,,,not measured,,
debpalash/VoiceStudio,measured,fork-class,305668,40430,216343,581,,,copyleft,AGPL: network use forces you to publish your source,,
deeplethe/utopia,measured,fork-class,125147,8751,30064,0,8308,Apache-2.0,permissive,,,
deepseek-ai/deepseek-harness,measured,fork-class,428880,348643,538209,0,229219,MIT,permissive,,,
DietrichGebert/ponytail,measured,medium,4567,5389,2535,0,142067,MIT,permissive,,,
diffusionstudio/editor,measured,fork-class,88880,3712,1736,0,2841,MPL-2.0,weak-copyleft,,,
elder-plinius/CL4R1T4S,measured,prompt-class,0,35603,0,0,50028,AGPL-3.0,copyleft,,,
Embertuready/Total-Commander,removed_from_github,,,,,,,,,not measured,,
